mu,n,K,seed,protocol,last,average,floor
0.35,2048,16,8,with_replacement,0.024415482420375646,0.025880532366660797,0.021373447279393193
0.35,2048,32,8,with_replacement,0.024333603456138345,0.024772467151143902,0.021373447279393193
0.35,2048,64,8,with_replacement,0.024574702587729362,0.0244453054593214,0.021373447279393193
0.35,2048,128,8,with_replacement,0.024330541500581004,0.024359569646966985,0.021373447279393193
0.35,2048,256,8,with_replacement,0.024330540437488637,0.02433784209423902,0.021373447279393193
0.35,2048,1,8,reshuffle,0.06363418039862365,0.05441435274062281,0.021373447279393193
0.35,2048,2,8,reshuffle,0.030847114684694893,0.04065081295491239,0.021373447279393193
0.35,2048,4,8,reshuffle,0.0265777214220512,0.032680697695984195,0.021373447279393193
0.35,2048,8,8,reshuffle,0.024818585253598573,0.027897152138002514,0.021373447279393193
0.35,2048,16,8,reshuffle,0.024383642388074323,0.025560525965995524,0.021373447279393193
0.35,2048,32,8,reshuffle,0.024341657177810047,0.024683936736204025,0.021373447279393193
0.35,2048,64,8,reshuffle,0.02433064906561045,0.02442298708157801,0.021373447279393193
0.35,2048,128,8,reshuffle,0.024330539566937336,0.02435405806165325,0.021373447279393193
0.35,2048,256,8,reshuffle,0.02433054157420052,0.024336487492216154,0.021373447279393193
0.35,2048,1,8,cyclic,0.03838509955209241,0.055213129919139424,0.021373447279393193
0.35,2048,2,8,cyclic,0.03143417257124846,0.04192577511565589,0.021373447279393193
0.35,2048,4,8,cyclic,0.027142252988979886,0.033306967957186254,0.021373447279393193
0.35,2048,8,8,cyclic,0.025220756250723755,0.028129210039461824,0.021373447279393193
0.35,2048,16,8,cyclic,0.024579724460308067,0.025627374432614015,0.021373447279393193
0.35,2048,32,8,cyclic,0.024379902612136736,0.024700815190840993,0.021373447279393193
0.35,2048,64,8,cyclic,0.02433334264656987,0.02442697518928041,0.021373447279393193
0.35,2048,128,8,cyclic,0.02433055404574832,0.02435500062531715,0.021373447279393193
0.35,2048,256,8,cyclic,0.02433054364554136,0.024336731040324144,0.021373447279393193
0.35,2048,1,9,with_replacement,0.039599810554856806,0.052042589999114826,0.021373447279393193
0.35,2048,2,9,with_replacement,0.031707981184903734,0.041154066875145216,0.021373447279393193
0.35,2048,4,9,with_replacement,0.024778078244319907,0.03203596526504996,0.021373447279393193
0.35,2048,8,9,with_replacement,0.021865964997090984,0.025937748895367214,0.021373447279393193
0.35,2048,16,9,with_replacement,0.0211382497142268,0.022777976623907074,0.021373447279393193
0.35,2048,32,9,with_replacement,0.021012430006827943,0.021541552272686035,0.021373447279393193
0.35,2048,64,9,with_replacement,0.020981408360929592,0.02114158274963832,0.021373447279393193
0.35,2048,128,9,with_replacement,0.020971445638316644,0.021020270552044876,0.021373447279393193
0.35,2048,256,9,with_replacement,0.020969211242188465,0.02098280981303621,0.021373447279393193
0.35,2048,1,9,reshuffle,0.03918632520024556,0.0554684636932479,0.021373447279393193
0.35,2048,2,9,reshuffle,0.029182719244928036,0.03998004366271664,0.021373447279393193
0.35,2048,4,9,reshuffle,0.031553740204949325,0.030764336199898122,0.021373447279393193
0.35,2048,8,9,reshuffle,0.02174201374870098,0.025301932900930982,0.021373447279393193
0.35,2048,16,9,reshuffle,0.021100573639246736,0.022528806745510527,0.021373447279393193
0.35,2048,32,9,reshuffle,0.021920946508836886,0.02146109965452489,0.021373447279393193
0.35,2048,64,9,reshuffle,0.020979116050601154,0.021118575409276842,0.021373447279393193
0.35,2048,128,9,reshuffle,0.020969642608164918,0.021011990095293896,0.021373447279393193
0.35,2048,256,9,reshuffle,0.02096920926676701,0.02098035875104328,0.021373447279393193
0.35,2048,1,9,cyclic,0.03581162307017814,0.052018572096632236,0.021373447279393193
0.35,2048,2,9,cyclic,0.028309654000435388,0.03924086995406983,0.021373447279393193
0.35,2048,4,9,cyclic,0.023618724929615854,0.030675802542827122,0.021373447279393193
0.35,2048,8,9,cyclic,0.021586720027043912,0.025273325710838065,0.021373447279393193
0.35,2048,16,9,cyclic,0.02109748827498175,0.022516983024110534,0.021373447279393193
0.35,2048,32,9,cyclic,0.021005661678527375,0.021458130918424773,0.021373447279393193
0.35,2048,64,9,cyclic,0.02097684851474031,0.021117160886453854,0.021373447279393193
0.35,2048,128,9,cyclic,0.020969615337489905,0.021011293710164494,0.021373447279393193
0.35,2048,256,9,cyclic,0.02096920938527986,0.020980131424929643,0.021373447279393193
0.5,2048,1,0,with_replacement,0.042678849277985556,0.0606104427416679,0.016850325164570426
0.5,2048,2,0,with_replacement,0.03600559924474457,0.04413094471367113,0.016850325164570426
0.5,2048,4,0,with_replacement,0.025309652624813692,0.03340541772008448,0.016850325164570426
0.5,2048,8,0,with_replacement,0.02177572562869451,0.026509385416687802,0.016850325164570426
0.5,2048,16,0,with_replacement,0.021020455401953814,0.022888305645763184,0.016850325164570426
0.5,2048,32,0,with_replacement,0.020769737843989958,0.02142348557274971,0.016850325164570426
0.5,2048,64,0,with_replacement,0.02076179249339919,0.02093303740604107,0.016850325164570426
0.5,2048,128,0,with_replacement,0.020745608558660852,0.020794645297318348,0.016850325164570426
0.5,2048,256,0,with_replacement,0.020745511438680475,0.02075852681373897,0.016850325164570426
0.5,2048,1,0,reshuffle,0.035749541475751316,0.05213531665487753,0.016850325164570426
0.5,2048,2,0,reshuffle,0.028140063218681812,0.03841331207887544,0.016850325164570426
